,time,ra,dec,maglim,comment,skynoise,band,zp
1595,60560.97906624251,273.0744023287796,-66.74246548378557,21.737290403399513,203306,403.75120760896505,lssty,30
1596,60560.98000338666,273.2346293719656,-69.50370904987236,21.728815439368528,203308,406.91511288977676,lssty,30
1597,60560.98047198806,265.58501329385587,-68.02954849280331,21.772576941885173,203309,390.8401928553675,lssty,30
1598,60560.9841803099,260.19815057973193,-63.75773647044504,21.992204178634914,203317,319.262804435471,lssty,30
1599,60560.98647832599,261.20575622375475,-60.99044971555169,22.048971960495237,203322,302.9990113589919,lssty,30
1600,60560.98694276804,266.75476380342076,-62.5399147549477,22.040164473118843,203323,305.4669343799248,lssty,30
1601,60560.987409983216,272.8420403816117,-61.23148890397221,22.06720794675264,203324,297.952351259211,lssty,30
1602,60560.98785877363,272.9468647191513,-63.98941114621379,22.038045963206358,203325,306.06354936563156,lssty,30
1603,60560.988326793515,266.2289818415954,-65.2848690694726,22.017940075848724,203326,311.78410111116926,lssty,30
1604,60560.98879350701,273.0744023287796,-66.74246548378557,22.0022764405794,203327,316.3147321983855,lssty,30
1605,60560.98973065116,273.2346293719656,-69.50370904987236,22.139593725985197,203329,278.7356417791583,lssty,30
1606,60560.99019925256,265.58501329385587,-68.02954849280331,22.312734500203284,203330,237.64911185456276,lssty,30
1607,60560.993907126125,260.19815057973193,-63.75773647044504,22.31858103674302,203338,236.3728442041654,lssty,30
1608,60563.98038657335,279.2054118101694,-55.57267587651505,22.753453065857677,205091,158.36119464433165,lsstz,30
1609,60563.9813097992,278.08864791965306,-58.410218234895375,22.76148676503922,205093,157.19375546015868,lsstz,30
1610,60563.98223430829,276.71179724295087,-61.23230707865682,22.771554446829313,205095,155.7428855645297,lsstz,30
1611,60563.982703668444,270.277152375683,-62.06516925363153,22.775101905271107,205096,155.23485257450608,lsstz,30
1612,60563.983172917935,263.5835177115895,-62.675957732371074,22.77306290168703,205097,155.5266562563266,lsstz,30
1613,60563.98362790002,262.6482360424177,-57.68863382977197,22.938654570732666,205098,133.52671582130864,lsstz,30
1614,60563.98413168603,273.8722461053267,-56.455120301857285,22.98118256096949,205099,128.39761929775403,lsstz,30
1615,60563.98458074371,275.2052884680486,-53.61337715434694,23.0235368702062,205100,123.4852961369722,lsstz,30
1616,60563.985506404606,276.30312619622083,-50.74987472748113,23.071062250013664,205102,118.19663039708776,lsstz,30
1617,60563.991485436534,279.2054118101694,-55.57267587651505,23.532772549121997,205112,77.25400013525109,lssti,30
